"No.",,"RIa","Compoundb","Peak area (%)","Identificationc"
" ","HP-5MS","Literature values"," "," "," "
"1","925","930","α-thujene","tr","RI, MS"
"2","932","939","α-pinene","1.2 ± 0.4","RI, MS"
"3","974","979","β-pinene","tr","RI, MS"
"4","993","990","β-myrcene","16.6 ± 2.1","RI, MS"
"5","1000","1002","δ-2-carene","tr","RI, MS"
"6","1003","1002","α-phellandrene","0.2 ± 0.1","RI, MS"
"7","1008","1011","δ-3-carene","tr","RI, MS"
"8","1023","1024","p-cymene","tr","RI, MS"
"9","1029","1029","limonene","10.4 ± 1.7","RI, MS"
"10","1036","1037","(Z)-β-ocimene","0.3 ± 0.2","RI, MS"
"11","1043","1042","phenyl acetaldehyde","tr","RI, MS"
"12","1049","1050","(E)-β-ocimene","12.4 ± 1.2","RI, MS"
"13","1090","1092","(6,7)-epoxymyrcene","tr","RI, MS"
"14","1098","1096","linalool","0.9 ± 0.3","RI, MS"
"15","1100","1110","nonanal","0.3 ± 0.1","RI, MS"
"16","1119","1122","trans-mentha-2,8-dien-1-ol","tr","RI, MS"
"17","1126","1132","(4E,6Z)-allo-cimene","tr","RI, MS"
"18","1135","1136","trans -limonene oxide","tr","RI, MS"
"19","1143","1141","verbenol","tr","RI, MS"
"20","1165","1170","p-mentha-1,5-dien-8-ol","tr","RI, MS"
"21","1167","1174","cis-linalool oxide","tr","RI, MS"
"22","1172","1176","trans-linalool oxide","tr","RI, MS"
"23","1189","1188","α-terpineol","0.1 ± 0.2","RI, MS"
"24","1193","1191","methyl salicylate","tr","RI, MS"
"25","1207","1205","verbenone","tr","RI, MS"
"26","1217","1216","trans-carveol","0.2 ± 0.3","RI, MS"
"27","1251","1252","geraniol","0.1 ± 0.2","RI, MS"
"28","1334","1338","δ-elemene","0.4 ± 0.3","RI, MS"
"29","1347","1348","α-cubebene","tr","RI, MS"
"30","1373","1376","α-copaene","0.2 ± 0.2","RI, MS"
"31","1379","1381","geranyl acetate","0.1 ± 0.3","RI, MS"
"32","1383","1388","β-bourbonene","0.2 ± 0.2","RI, MS"
"33","1390","1390","β-elemene","0.9 ± 0.5","RI, MS"
"34","1424","1419","β-caryophyllene","17.2 ± 1.9","RI, MS"
"35","1428","1432","β-copaene","0.3 ± 0.1","RI, MS"
"36","1449","1453","trans-muurola-3,5-diene","tr"," "
"37","1454","1454","α-humulene","2.2 ± 0.4","RI, MS"
"38","1460","1460","aromadendrene","0.2 ± 0.1","RI, MS"
"39","1462","1466","cis-muurola-4-(14), 5diene","0.1 ± 0.1","RI, MS"
"40","1485","1483","germacrene D","5.2 ± 0.1","RI, MS"
"41","1496","1500","bicyclogermacrene","0.9 ± 0.6","RI, MS"
"42","1498","1500","α-muurolene","0.5 ± 0.2","RI, MS"
"43","1503","1505","(E,E)-α-farnesene","0.2 ± 0.1","RI, MS"
"44","1512","1513","γ-cadinene","0.3 ± 0.2","RI, MS"
"45","1522","1523","δ-cadinene","0.5 ± 0.4","RI, MS"
"46","1530","1534","trans-cadina-1,4-diene","0.1 ± 0.1","RI, MS"
"47","1535","1538","α-cadinene","0.1 ± 0.3","RI, MS"
"48","1563","1563","(E)-nerolidol","0.4 ± 0.2","RI, MS"
"49","1584","1578","spathulenol","4.0 ± 0.3","RI, MS"
"50","1589","1583","caryophyllene oxide","9.6 ± 0.5","RI, MS"
