"Order","Constituents","RIa","RIb",,"Oils composition (%)"
"L. camara","L. montevidensis"
,"Monoterpene hydrocarbons"," "," ","10.1","0.2"
"1","sabinene","969","973","4.8","0.2"
"2","β-pinene","973","978","0.2","-"
"3","ß-myrcene","990","992","0.4","-"
"4","p-cymene","1020","1021","1.4","-"
"5","(Z)-ß-ocimene","1034","1037","0.9","-"
"6","(E)-ß-ocimene","1045","1050","1.0","-"
"7","γ-terpinene","1060","1060","0.6","-"
"8","terpinelene","1082","1084","0.8","-"
,,,"Oxigenated monoterpenes","5.8","1.8"
"9","Linalool","1093","1097","-","1.8"
"10","cis-p-menth-2-en-1-ol","1103","1103","5.2","-"
"11","terpinene-4-ol","1175","1177","0.6","-"
,,"Sesquiterpene hydrocarbons"," ","79.5","88.7"
"12","α-elemene","1337","1337","1.6","-"
"13","α-copaene","1371","1376","0.4","2.7"
"14","β-elemene","1382","1385","1.2","2.9"
"15","(Z)-β-caryophyllene","1400","1404","2.9","-"
"16","Isocaryophyllene","1409","1409","16.7","-"
"17","(E)-ß-caryophyllene","1416","1417","-","31.5"
"18","Alloaromadrene","1441","1443","2.3","1.4"
"19","γ-elemene","1429","1433","1.6","-"
"20","Camphor","1444","1446","-","0.3"
"21","α-humulene","1448","1455","2.1","2.7"
"22","germacrene D","1473","1474","12.3","27.5"
"23","eremophilene","1480","1486","5.6","-"
"24","Bicyclogermacrene","1490","1491","19.4","13.9"
"25","ß-sabinene","1491","1491","-","0.7"
"26","Valencene","1497","1496","12.9","-"
"27","germacrene A","1508","1505","-","1.1"
"28","δ-cadinene","1516","1514","0.5","-"
"29","ß-cadinene","1520","1524","-","2.6"
"30","germacrene B","1558","1560","-","1.4"
,"Oxigenated sesquiterpenes"," "," ","4.3","7.4"
"31","Spathulenol","1575","1576","2.6","3.4"
"32","caryophyllene oxide","1582","1581","1.7","2.2"
"33","torreyol","1636","1630","-","1.3"
"34","δ-cadinol","1635","1636","-","0.5"
" ","Total identified"," "," ","99.7","98.1"
,,,,,"Notes: aRelative retention index experimental: n-alkanes (C9–C24) were used as reference points in the calculation of relative retention indices. bRelative retention index (9)."
