"S.N.","Compounda","RIb","RIc","Percentage"
"1","β-pinene","966","974","0.7"
"2","β-myrcene","987","988","42.5"
"3","limonene","1021","1024","6.3"
"4","Z-β-ocimene","1034","1032","0.9"
"5","E-β-ocimene","1043","1044","0.2"
"6","undecane","1099","1100","0.9"
"7","decanal","1203","1201","2.1"
"8","octyl acetate","1222","1211","0.1"
"9","tridecane","1299","1300","0.5"
"10","citronellyl acetate","1348","1350","0.1"
"11","E-2-undecenol","1369","1365","1.0"
"12","geranyl acetate","1377","1379","0.3"
"13","Z-5-dodecen-1-al","1383","1389d","4.6"
"14","Z-caryophyllene","1403","1408","0.4"
"15","dodecanal","1405","1408","1.5"
"16","β-copaene","1427","1430","0.3"
"17","α-humulene","1451","1452","0.5"
"18","9-epi-E-caryophyllene","1461","1464","1.6"
"19","germacrene D","1483","1484","6.7"
"20","bicyclogermacrene","1497","1500","8.9"
"21","pentadecane","1498","1500","1.7"
"22","δ-cadinene","1523","1522","0.5"
"23","caryophyllene oxide","1585","1582","0.6"
"24","tetradecanal","1609","1611","0.5"
"25","α-muurolol","1647","1644","2.9"
"26","α-cadinol","1655","1652","1.0"
"27","tetradecanol","1672","1671","1.8"
"28","Z-9-hexadecen-1-al","1796","1800d","1.1"
"29","hexadecanal","1812","1813","0.7"
"30","hexadecanoic acid","1964","1968","0.2"
"31","tricosane","2298","2300","1.4"
"32","pentacosane","2499","2500","1.3"
"33","heptacosane","2700","2700","0.4"
" "," "," "," "," "
" ","Total"," "," ","94.2"
" "," "," "," "," "
,,,,"Notes: aCompounds listed in order of elution of Elite-5MS capillary column; bRetention Index (RI) on Elite-5MS calculated by using n-alkane series from C8 to C32; cRetention Index (RI) from literature data (11); dRetention Index (RI) from literature data (12)."
