"RRI","Compound","A (%)","B (%)","C (%)","D (%)","E (%)","F (%)","G (%)","H (%)","I (%)","J (%)"
"1032","α-pinene","1.8","13.7","4.7","13.5","—","—","—","—","10.1","1.0"
"1118","β-pinene","tr","37.5","0.5","1.3","—","—","—","—","2.6","—"
"1132","sabinene","9.5","4.3","0.2","19.7","—","—","—","—","—","—"
"1203","limonene","0.4","2.0","0.5","2.3","—","38.2","—","—","2.2","—"
"1213","1,8-cineole","—","—","—","—","—","—","—","—","46.9","—"
"1255","γ-terpinene","11.3","tr","1.1","2.6","—","—","—","—","1.3","3.3"
"1280","p-cymene","6.5","tr","0.3","1.1","—","—","—","—","1.9","8.3"
"1483","octyl acetate","—","—","—","—","—","—","87.9","—","—","—"
"1504","daucene","6.1","—","1.6","—","—","—","—","—","—","—"
"1532","camphor","—","—","—","—","—","—","—","—","7.1","—"
"1553","linalool","—","—","—","—","—","—","—","—"," ","9.3"
"1612","β-caryophyllene","—","—","—","—","—","—","—","—","3.5","—"
"1726","germacrene D","7.8","6.2","8.7","2.1","—","—","—","—","—","—"
"1751","carvone","—","—","—","—","—","56.4","—","—","—","—"
"1845","(E)-anethole","—","—","—","—","—","—","—","94.6","—","—"
"2000","(E)-2-tridecenal","—","—","—","—","52.9","—","—","—","—","—"
"2045","carotol","20.7","—","52.7","tr","—","—","—","—","—","—"
"2100","(E)-2-tetradecenal","—","—","—","—","24.6","—","—","—","—","—"
"2183","(E)-sesquilavandulol","—","—","—","37.0","—","—","—","—","—","—"
"2202","4α-hydroxygermacra-1(10)-5-diene","2.8","21.7","—","—","—","—","—","—","—","—"
"2239","carvacrol","0.5","—","—","—","—","—","—","—","—","66.4"
,,,,,,,,,,,"Notes: A, Seseli petraeum; B, Seseli resinosum; C, Seseli andronakii; D, Seseli tortuosum; E, Bifora radians; F, Anethum graveolens; G, Heracleum platytaenium; H, Pimpinella anisum; I, Rosmarinus officinalis; J, Origanum onites; tr, trace (< 0.1)."
