"Compound","RIlitt","RIa","RIp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"α-thujene","932","926","1029","0.3","0.3","1.1","0.1","0.2","0.2","tr","0.2","0.4","tr","—","tr","tr","—","tr"
"α-pinene","936","931","1024","0.6","0.4","0.4","16.4","0.3","0.5","0.5","0.5","0.5","0.3","0.3","15.0","0.4","0.3","0.4"
"camphene","950","944","1072","0.4","tr","0.3","0.1","0.1","0.3","0.3","0.1","0.3","0.1","tr","0.1","0.1","tr","0.1"
"sabinene","973","965","1125","0.4","0.3","0.3","0.9","0.3","0.3","0.7","0.5","0.5","0.2","0.1","0.8","0.2","0.2","0.2"
"β-pinene","978","971","1115","0.3","0.2","0.2","24.8","0.1","0.3","0.3","0.4","0.4","0.3","0.6","24.1","0.6","0.5","0.6"
"myrcene","987","981","1165","6.8","7.8","7.4","1.8","13.3","5.9","39.7","7.3","15.6","12.7","5.1","6.0","5.6","9.7","5.4"
"α-phellandrene","1002","997","1169","0.7","0.7","0.7","0.1","0.3","0.3","0.1","0.2","0.2","—","0.1","tr","0.1","—","0.1"
"δ-3-carene","1010","1005","1152","0.6","0.8","0.8","0.2","0.2","0.4","0.1","0.3","tr","tr","0.1","tr","0.1","—","0.1"
"α-terpinene","1013","1009","1184","1.4","1.9","1.7","0.2","0.5","0.5","0.1","0.3","0.1","—","0.1","0.1","—","—","—"
"p-cymene","1015","1012","1274","2.1","2.1","2.5","2.3","0.6","3.7","0.2","2.0","0.7","0.4","0.4","0.3","0.6","0.6","0.5"
"limonene ∗","1025","1022","1205","9.6","5.2","3.4","3.7","7.0","10.5","2.0","6.4","10.1","1.1","2.2","1.4","3.9","1.2","11.6"
"1,8-cineole∗","1024","1022","1212","0.3","0.8","0.3","0.1","0.2","0.3","0.9","0.2","0.2","0.2","0.1","0.1","0.1","0.3","0.1"
"β-phellandrene∗","1023","1022","1213","0.6","0.4","—","0.4","0.7","0.6","1.1","0.6","0.9","0.4","0.3","0.6","0.5","0.5","0.6"
"(E)-β-ocimene","1041","1036","1253","3.1","4.2","2.3","1.3","1.0","3.0","3.2","3.6","6.1","4.9","3.0","2.0","1.6","1.3","4.6"
"γ-terpinene","1051","1048","1248","5.6","7.6","7.3","1.1","2.0","2.9","0.2","1.6","0.3","tr","0.1","0.1","0.1","0.1","tr"
"δ-elemene","1340","1336","1472","1.3","0.7","0.4","0.7","0.7","0.6","0.1","0.3","0.7","0.3","1.9","0.3","1.4","0.7","0.5"
"α-cubebene","1355","1349","1459","0.7","0.4","0.4","0.3","0.4","0.6","0.2","0.2","0.3","0.1","0.3","0.1","0.3","0.2","0.2"
