"Components","RIa","RI15","RI15","RI16","RI16","RI17",,,,"Rosa canina",,,"Rosa sempervirens"
"DB-1","DB-1","OV-101","DB-1","OV-101","OV-101","AD","B","F","Fe","AD","Fe","T"
"α-thujene","924"," ","938"," "," ","930","t","1.2","2.5","1.0","0.5","t","1.1"
"α-pinene","930","941","940[942]"," ","942","926","t","3.4","6.1","1.9","1.1","t","4.3"
"Camphene","938"," ","954"," ","954","957","t","0.6","t","0.2","0.3","t","t"
"Sabinene","958","975","975[976]"," ","976","970","t","t","t","t","0.2","t","t"
"β-pinene","963","978","980"," ","981","985","t","t","t","t","0.2","t","t"
"β-myrcene","975","985","986","981","986","990","0.4","1.9","5.0","1.8","3.3","t","5.6"
"α-phellandrene","995"," ","1002","996"," ","1009","t","0.7","0.7","t","0.4","t","t"
"n-decane","1000"," "," ","1000","1000","1000","t","t","t","t","t","t","t"
"benzyl alcohol","1000"," ","1033","1004","1033","1117","t","t","t","t","t","t","t"
"α-terpinene","1002"," "," ","1008"," ","1020","t","0.7","2.8","1.0","1.0","t","2.9"
"p-cymene","1003","1015","1020","1014","1020","1025","1.8","11.5","14.4","4.9","10.9","t","15.8"
"1,8-cineole","1005","1028","1027"," ","1027","1015","t","t","t","t","t","t","t"
"Limonene","1009"," ","1030","1024","1030","1022","1.3","4.9","11.0","2.7","5.2","t","7.8"
"γ-terpinene","1035"," ","1057","1048"," ","1058","0.7","7.8","10.5","2.7","9.7","t","11.6"
"2,4,6-trimethyl octaneb","1053"," "," "," "," "," ","0.6","1.9","6.0","9.1","2.8","t","8.3"
"2-methyl decane","1058"," "," "," "," "," ","0.8","0.9","2.8","4.1","0.6","t","3.8"
"2-phenylethyl alcohol","1064"," "," "," ","1104","1080"," "," "," "," ","28.5","93.3","t"
"n-nonanal","1073"," ","1087","1082","1102","1079","t","t","t","t","t","t","t"
"Linalool","1074"," ","1092","1083","1092","1085","3.0","1.9","1.1","1.7","t","t","t"
"n-undecane","1100"," "," ","1100"," ","1100","0.6","1.6","5.8","8.0","2.7","t","7.4"
"4,7-dimethyl undecaneb","1106"," "," "," "," "," ","0.3","6.5","3.3","4.4","0.7","t","4.1"
"α-terpineol","1159"," ","1185","1170"," ","1289","t","t","t","t","1.0","t","t"
"estragole (= methyl chavicol)","1163"," "," "," ","1183","[1183]"," "," "," "," ","0.6","4.7","t"
"Myrtenol","1168"," "," "," "," "," ","0.2","t","t","t"," "," "," "
"Nerol","1206"," "," ","1209"," ","1234","4.0","t","t","0.8"," "," "," "
"Citronellol","1207"," ","1215","1218","1215","1229","4.5","t","t","0.8"," "," "," "
"Geraniol","1236"," ","1243","1234","1243","1258","20.8","1.8","t","7.6"," "," "," "
"n-tridecane","1300"," "," ","1300"," ","1300","t","t","t","0.6","6.3","t","t"
"geranyl acetate","1370"," ","1364"," ","1364","1365","0.2","t","t","t"," "," "," "
"β-elemene","1388"," "," ","1386"," ","[1376]","t","t","t","t"," "," "," "
"β-caryophyllene","1414"," ","1428","1423 [1414]","1442","1438","32.0","11.0","t","4.1"," "," "," "
"β-copaene","1426"," ","1398","1428","1445"," ","t","t","t","t"," "," "," "
"α-humulene","1447"," ","1465","1448","1465","1472","2.0","t","t","t"," "," "," "
"γ-muurolene","1469"," "," ","1469","1475","1488","0.4","0.8","t","t"," "," "," "
"germacrene-D","1474"," "," ","1473"," ","1500","0.4","0.9","t","t"," "," "," "
"n-pentadecane","1500"," "," "," ","1500","1500","0.7","t","7.8","5.8","5.8","t","9.9"
"δ-cadinene","1505"," ","1524","1519","1524","1531","2.0","t","t","t"," "," "," "
"β-caryophyllene oxide","1561"," "," ","1567"," "," ","0.9","2.5","t","3.4"," "," "," "
"n-hexadecane","1600"," "," ","1600","1600","1600","t","t","3.4","3.1","1.3","t","5.3"
"α-cadinol","1626"," "," "," "," ","1674","0.4","t","t","t"," "," "," "
"14-hydroxy-9-epi-(E)-caryophylleneb","1633"," "," "," "," "," ","8.9","t","t","1.7"," "," "," "
"n-nonadecane","1900"," "," ","1900","1900","1900","0.5","5.3","1.4","2.0"," "," "," "
"n-heneicosane","2100"," "," ","2100","2100","2100","4.7","28.9","1.6","2.9"," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Percent of identification"," "," "," "," "," "," ","92.1","96.7","86.2","76.3","83.1","98.0","87.9"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Grouped components"," "," "," "," "," "," "," "," "," "," "," "," "," "
"monoterpene hydrocarbons"," "," "," "," "," "," ","4.2","32.7","53.0","16.2","32.8","t","49.1"
"oxygen-containing monoterpenes"," "," "," "," "," "," ","32.7","3.7","1.1","10.9","1.0","t","t"
"sesquiterpene hydrocarbons"," "," "," "," "," "," ","36.8","12.7","t","4.1","t","t","t"
"oxygen-containing sesquiterpenes"," "," "," "," "," "," ","10.2","2.5","t","5.1","t","t","t"
"phenylpropanoids"," "," "," "," "," "," "," "," "," "," ","0.6","4.7","t"
"Others"," "," "," "," "," "," ","8.2","45.1","32.1","40.0","48.7","93.3","38.8"
"Oil yield (%, v/f.w.)"," "," "," "," "," "," ","1.4","1.3","0.9","1.0","0.4","0.5","0.7"
,,,,,,,,,,,,,"Notes: Ain Draham (AD), Boussalem (B), Feija (F), Fernana (Fe) and Tabarka (T). RIa, calculated retention index relative to C9–C21 n-alkanes on the DB-1 column; RI15, RI16 and RI17, retention indices from the literature (15–17) on DB-1 or similar phase column (100% dimethylpolysiloxane); in square brackets additional retention index (RI), whenever more than one RI was listed by the same literature reference; t, trace (< 0.05%). bBased on mass spectra only."
