"Compound","RICalc","RICalc","RILit",,,,"Relative abundance (%)","Ref."
"ZB-WAX","HP5","Ba","Bd","Bg","Bc"
"2-epi-β-Funebrene","1603","1420","1417","5.5","1.2","ND","ND","8, 11"
"α-Amorphene","–","1486","1489","ND","1.6","ND","1.3","8"
"10,11-Epoxy-calamenene","1487","1500","1500","1.8","1.6","ND","ND","8"
"β-Bisabolene","–","1514","1513","ND","1.4","ND","0.4","8, 10"
"trans-Calamenene","1767","1525","1522","2.3","ND","ND","ND","8, 9"
"Palustrol","2044","1572","1563","ND","0.4","ND","29.5","8, 11"
"Spathulenol","2048","1591","1575","30.6","47.9","41.0","1.8","8, 9, 11"
"τ-Gurjunene","2107","1601","–","4.9","ND","34.9","ND"," "
"Humulene epoxide II","–","1613","1607","0.3","1.2","ND","ND","8"
"Caryophylla-4(12).8(13)-dien-5-ol","2074","1643","1644","1.6","ND","ND","ND","8, 11"
"α-Muurolol","–","1644","1645","ND","1.5","ND","ND","8"
"epi-α-Bisabolol","–","1688","–","1.0","0.6","ND","ND"," "
,,,,,,,,"Notes: RILit, literature retention index; RICalc, calculated retention index; ND, not detected."
