"No.","Compounds","RIs","RI",,,,,,,,,,,,,,,,,,,,,,,"Population number","Method of identification"
"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1","α-Thujene","930","931","tr","0.1","–","0.2","–","0.1","tr","0.1","tr","0.1","0.1","tr","0.3","0.1","0.2","–","0.1","0.1","–","–","0.1","0.1","0.1","RI, MS"
"2","α-Pinene","939","939","2.4","3.0","0.3","2.7","0.6","1.2","1.2","1.5","1.3","1.7","2.0","1.1","3.4","2.5","2.6","1.7","2.3","1.1","1.6","2.6","2.0","3.6","1.7","RI, MS, CoI"
"3","Camphene","954","952","6.7","3.0","0.1","1.2","0.4","0.4","0.3","0.5","0.2","0.9","2.2","0.6","1.8","0.7","0.4","0.5","1.9","0.3","1.0","2.1","2.9","4.9","0.1","RI, MS, CoI"
"4","Yomogi alcohol","999","998","0.3","0.4","2.3","0.6","0.3","0.6","0.4","0.1","0.4","0.6","0.2"," ","2.1","0.5","0.9","0.5","–","0.4","1.1","0.7","0.7","0.4","0.6","RI, MS"
"5","α-Phellandrene","1003","1002","1.2","1.8","–","1.6","0.6","0.4","0.7","0.8","0.5","1.3","1.3","0.7","1.8","1.4","1.3","0.8","1.5","0.3","1.8","1.4","1.1","2.1","0.4","RI, MS"
"6","α-Terpinene","1017","1018","–","–","0.2","3.7","3.0","6.7","3.2","1.1","3.4","4.3","0.1","0.2","0.4","3.9","5.0","3.5","0.1","5.3","0.7","0.1","0.2","0.2","11.6","RI, MS"
"7","p-Cymene","1025","1025","1.9","2.5","20.8","17.7","24.1","20.3","17.4","14.2","19.5","19.8","1.4","3.0","2.2","16.9","19.7","17.5","2.6","38.6","12.6","2.6","2.6","2.7","34.8","RI, MS, CoI"
"8","1,8-Cineole","1031","1033","38.5","51.9","45.2","54.9","6.5","12.8","25.2","43.1","14.1","40.9","38.0","21.0","54.2","53.0","42.6","30.8","65.0","14.0","51.5","68.3","36.9","59.5","19.5","RI, MS, CoI"
"9","Artemisia ketone","1062","1063","–","–","–","–","–","0.2","–","–","0.1","–","0.1","0.2","0.6","–","–","–","–","–","0.1","–","0.2","–","–","RI, MS"
"10","Artemisia alcohol","1084","1083","0.3","–","1.2","–","–","0.1","0.1","–","–","0.2","–","–","0.3","–","–","0.1","–","–","0.4","0.2","0.2","–","–","RI, MS"
"11","trans-Sabinene hydrate","1098","1096","8.1","3.1","–","–","0.3","0.1","0.1","–","–","–","0.5","0.4","2.0","0.1","–","0.5","0.6","–","–","0.4","1.0","–","–","RI, MS"
"12","Linalool","1097","1098","–","–","–","0.1","–","0.2","0.2","–","0.1","0.1","–","–","0.2","–","0.2","–","–","–","0.4","–","–","–","0.2","RI, MS, CoI"
"13","β-Thujone","1112","1112","–","–","–","–","–","–","–","–","–","–","–","0.2","–","–","–","–","–","–","–","4.5","28.9","0.5","–","RI, MS"
"14","cis-p-Menth-2-en-1-ol","1122","1120","4.6","2.5","0.6","0.7","2.0","2.2","2.3","2.8","2.3","1.6","2.8","4.6","0.1","0.8","0.9","1.9","0.8","2.4","2.8","1.0","4.9","0.2","1.8","RI, MS"
"15","Chrysanthenone","1128","1125","–","0.8","–","0.2","0.9","0.5","0.7","1.0","0.6","0.5","1.9","2.8","0.2","0.2","0.2","0.4","0.7","0.3","0.6","0.7","–","0.2","0.3","RI, MS"
