" "," ",,,,,,,,,,,,,,,,,,,,,,,,,"Compound number"
"No.","Essential oil composition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
" "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2","α-Pinene","0.50∗","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"3","Camphene","−0.04","0.61∗∗","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"4","Yomogi alcohol","0.20","−0.01","−0.14","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"5","α-Phellandrene","0.30","0.86∗∗","0.55∗∗","−0.05","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"6","α-Terpinene","0.21","−0.25","−0.52∗","−0.09","−0.45∗","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"7","p-Cymene","0.08","−0.56∗∗","−0.67∗∗","0.06","−0.65∗∗","0.82∗∗","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8","1,8- Cineole","0.19","0.70∗∗","0.41","0.23","0.77∗∗","−0.53∗","−0.59∗∗","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"9","Artemisia ketone","0.41∗","0.19","−0.02","0.46∗","0.12","−0.14","−0.27","−0.04","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"10","Artemisia alcohol","−0.27","−0.33","−0.02","0.78∗∗","−0.25","−0.29","0.00","0.18","0.07","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"11","trans-Sabinene hydrate","0.02","0.31","0.77∗∗","−0.04","0.20","−0.33","−0.43∗","0.11","0.08","0.08","1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"12","Linalool","0.24","0.00","−0.30","0.36","0.12","0.37","0.23","−0.06","0.38","0.08","−0.18","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"13","β-Thujone","−0.06","0.04","0.21","0.05","0.03","−0.20","−0.26","0.04","0.13","0.08","0.03","−0.17","1"," "," "," "," "," "," "," "," "," "," "," "," "
"14","cis-p-Menth-2-en-1-ol","−0.35","−0.33","0.23","−0.42∗","−0.24","−0.17","−0.18","−0.44∗","−0.02","−0.10","0.41","−0.15","0.43∗","1"," "," "," "," "," "," "," "," "," "," "," "
"15","Chrysanthenone","−0.26","−0.24","−0.17","−0.45","−0.06","−0.25","−0.28","−0.21","0.05","−0.30","−0.16","−0.18","−0.20","0.40","1"," "," "," "," "," "," "," "," "," "," "
"16","Camphor","0.13","0.67∗∗","0.93∗∗","0.02","0.57∗∗","−0.54∗∗","−0.71∗∗","0.43∗","0.25","0.00","0.79∗∗","−0.21","0.13","0.12","−0.14","1"," "," "," "," "," "," "," "," "," "
"17","cis-Chrysanthenol","0.00","−0.19","−0.14","0.00","−0.27","0.32","0.13","−0.32","0.26","−0.05","−0.08","0.24","−0.05","0.02","−0.04","−0.16","1"," "," "," "," "," "," "," "," "
"18","Terpinen-4-ol","0.41","0.61∗∗","0.51∗","0.20","0.50∗","−0.40","−0.59∗∗","0.38","0.59∗","−0.07","0.54∗∗","0.08","−0.01","−0.04","0.02","0.75∗∗","−0.26","1"," "," "," "," "," "," "," "
"19","α-Terpineol","0.48∗","0.69∗∗","0.22","0.29","0.67∗∗","−0.20","−0.45∗","0.55∗","0.44∗","−0.12","0.10","0.38","−0.04","−0.40","−0.10","0.41","−0.15","0.73∗∗","1"," "," "," "," "," "," "
"20","cis- Chrysanthenyl acetate","−0.35","−0.51∗","−0.24","−0.24","−0.34","−0.21","−0.06","−0.42∗","−0.02","−0.03","−0.13","−0.32","−0.13","0.34","0.80∗∗","−0.23","−0.05","−0.18","−0.37","1"," "," "," "," "," "
"21","4aα,7-α,7aα-Nepetalactone","−0.25","−0.34","−0.14","−0.10","−0.17","0.04","0.21","−0.39","−0.10","−0.11","−0.05","−0.15","−0.05","0.00","0.10","−0.15","−0.05","−0.19","−0.23","0.52∗","1"," "," "," "," "
"22","4aα-7α,7a-β-Nepetalactone","0.14","−0.17","−0.42∗","−0.03","−0.24","0.55∗∗","0.66∗∗","−0.18","−0.31","−0.10","−0.27","0.09","−0.18","−0.11","−0.23","−0.45∗","−0.16","−0.30","−0.24","−0.27","−0.16","1"," "," "," "
"23","4aα,7-β,7a-α-Nepetalactone","−0.10","−0.31","−0.27","−0.09","−0.40","0.28","0.20","−0.49∗","0.23","−0.12","−0.15","0.28","−0.10","0.07","−0.02","−0.27","0.61∗∗","−0.24","−0.14","−0.08","−0.08","−0.28","1"," "," "
"24","Lavandulyl 2-methyle butyrate","0.00","−0.06","−0.17","0.00","−0.26","0.69∗∗","0.42∗","−0.23","−0.10","−0.11","−0.09","0.27","−0.05","−0.04","−0.10","−0.17","−0.05","−0.10","−0.14","−0.11","−0.04","0.30","−0.08","1"," "
"25","Spathulenol","0.01","−0.12","−0.28","−0.04","−0.05","0.28","0.24","−0.09","−0.18","−0.04","−0.20","0.47∗","−0.12","−0.07","−0.08","−0.28","−0.10","−0.09","0.30","−0.17","−0.10","0.06","0.25","0.10","1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes: ∗Significant at the 5% probability level, ∗∗significant at the 1% probability level."
