,"Compounds","LRIb CP-Wax","LRI Mega 5 MS","Standard injection",,"B. fruticulosa",,"B. incana"
"Leaf","Root","Leaf","Root"
,"Esters"," "," "," "," "," "," "," "
" ","Allyl formate","918","–"," ","856","87","–c","–"
" ","Methyl butanoate","959","723","x","–","–","–","203"
" ","Methyl-2-methyl butanoate","1014","674"," ","890","786","–","–"
" ","(Z)-4-Hexenyl acetate","1317","1009","x","–","455","–","286"
" ","(Z)-2-Hexenyl acetate","1334","–","x","–","–","119","–"
" ","Ethyl benzoate","1642","1185","x","–","281","–","–"
" ","Ethyl decanoate","1649","1398","x","–","106","289","–"
" ","Ethyl salicylate","1792","1436","x","–","779","–","–"
" ","Methyl dodecanoate","1797","1509","x","–","56","87","141"
" ","All"," "," "," ","1746","2550","495","630"
,"Alcohols"," "," "," "," "," "," "," "
" ","3-Butanol","1061","–"," ","1462","708","–","–"
" ","1-Butanol","1141","668","x","396","–","684","–"
" ","1-Penten-3-ol","1161","686","x","1198","557","2276","–"
" ","1-Pentanol","1246","761","x","308","–","–","96"
" ","1-Hexanol","1349","851","x","754","260","9207","88"
" ","(Z)-3-Hexenol","1366","858","x","131","141","943","–"
" ","(E)-3-Hexenol","1385","878","x","3150","311","7272","–"
" ","3-Octanol","1391","981","x","95","–","201","571"
" ","(E)-2-Hexenol","1407","853","x","631","–","522","–"
" ","1-Octen-3-ol","1446","980","x","6704","844","213","–"
" ","1-Heptanol","1454","966","x","–","–","1002","–"
" ","2-Ethyl-1-hexanol","1488","1032","x","574","233","166","200"
" ","1-Octanol","1552","1066","x","–","–","193","177"
" ","2-Butyl-1-octanol","1712","–","x","65","114","–","61"
" ","β-Phenylethyl","1923","1118","x","487","863","–","–"
" ","All"," "," "," ","15955","4031","22679","1193"
,"Acids"," "," "," "," "," "," "," "
" ","2-Methyl butanoic","1691","873"," ","69","188","–","–"
" ","Hexanoic","1841","1019","x","141","–","–","–"
" ","All"," "," "," ","210","188","–","–"
,"Ketones"," "," "," "," "," "," "," "
" ","2-Pentanone","974","683","x","628","111","255","–"
" ","1-Penten-3-one","1020","650","x","–","–","824","–"
" ","3-Octanone","1258","965","x","992","–","–","–"
" ","6-Methyl-5-hepten-2-one","1339","984","x","465","467","370","267"
" ","Acetophenone","1676","1065","x","–","–","56","187"
" ","All"," "," "," ","2085","578","1505","454"
,"Aldehydes"," "," "," "," "," "," "," "
" ","Hexanal","1081","770","x","14451","1068","28166","–"
" ","(Z)-2-Pentenal","1112","703"," ","93","35","–","–"
" ","(E)-2-Pentanal","1132","724","x","1060","100","456","–"
" ","Heptanal","1182","864","x","164","125","141","117"
" ","(Z)-2-Hexenal","1204","801"," ","2167","231","2597","–"
" ","(E)-2-Hexenal","1223","821","x","66482","606","88646","–"
" ","(E)-2-Heptenal","1328","925","x","104","102","335","11"
" ","Nonanal","1395","1080","x","–","622","211","719"
" ","(Z,E)-2,4-Hexadienal","1405","853"," ","1493","–","–","–"
" ","(E,E)-2,4-Hexadienal","1410","879","x","2961","–","2424","–"
" ","(E)-2-Octenal","1436","1025","x","358","388","–","–"
" ","Furfural","1469","891","x","–","–","609","338"
" ","(E,Z)-2,4-Heptadienal","1472","980"," ","195","118","–","–"
" ","(E,E)-2,4-Heptadienal","1500","1011","x","–","–","999","410"
" ","Decanal","1502","1179","x","187","1783","–","–"
" ","Benzaldehyde","1533","968","x","203","341","390","406"
" ","5-Methyl furfural","1580","963"," ","–","–","–","127"
" ","Undecanal","1610","1281","x","–","178","–","–"
" ","Phenylacetaldehyde","1671","–","x","481","695","–","–"
" ","Dodecanal","1728","1380","x","38","73","452","168"
" ","4-Ethyl-benzaldehyde","1733","1171"," ","58","45","558","134"
" ","Tetradecanal","1922","1581","x","–","–","31","62"
" ","All"," "," "," ","90495","6510","126015","2492"
,"Terpenes and C13-norisoprenoides"," "," "," "," "," "," "," "
" ","Limonene","1192","1021","x","77","174","–","–"
" ","β-Caryophyllene","1614","1467","x","109","–","–","–"
" ","β-Cyclocitral","1639","1223","x","215","–","990","–"
" ","Geranyl acetone","1860","1454","x","80","724","276","323"
" ","(E)-β-Ionone","1948","1485","x","–","–","773","–"
" ","5,6-Epoxy-β-ionone","1981","1610"," ","–","–","617","–"
" ","All"," "," "," ","481","898","2656","323"
,"Thiocyanates and isothiocyanates"," "," "," "," "," "," "," "
" ","Methyl thiocyanate","1277","661"," ","–","–","–","2262"
" ","Allyl isothiocyanate","1363","787"," ","–","482","–","–"
" ","3-Butenyl isothiocyanate","1460","985"," ","55476","248614","28770","71982"
" ","2-Butenyl isothiocyanate","1480","–"," ","–","154","–","–"
" ","4-Pentenyl isothiocyanate","1544","1112"," ","–","–","–","2039"
" ","3-Methylthiopropyl isothiocyanate","1597","1260"," ","136","3433","–","360"
" ","Hexyl isothiocyanate","1642","1241"," ","–","599","–","181"
" ","Benzyl thiocyanate","1809","–"," ","–","374","–","–"
" ","Benzyl isothiocyanate","2068","1317"," ","–","291","–","–"
" ","All"," "," "," ","55612","253947","28770","76824"
,"Sulfuric compounds"," "," "," "," "," "," "," "
" ","2-Methyl thiophene","1107","759"," ","–","–","–","1193"
" ","2-Ethyl thiophene","1170","871"," ","–","–","489","–"
" ","Benzothiazole","1970","1224","x","2485","8949","2433","8827"
" ","All"," "," "," ","2485","8949","2922","10020"
,"Nitriles"," "," "," "," "," "," "," "
" ","4-Pentenenitrile","1275","742","x","3736","834","2333","428"
" ","2-Phenyl acetonitrile","1941","1068"," ","–","190","–","–"
" ","5-(Methylthio)-pentenenitrile","1942"," "," ","–","–","–","1362"
" ","Decanenitrile","1956"," ","x","141","172","–","–"
" ","All"," "," "," ","3877","1196","2333","1790"
,,,,,,,,"Notes: a Peak area; blinear retention index; cnot detected."
