" ","RIa","RI11","RIb","RI13",,"Mikanua glauca"
"Components","DB-5","DB-5","DB-1","DB-1","Sample 1","Sample 2"
"Tricyclene"," "," ","921","924"," ","t"
"Α-Thujene"," "," ","924","928"," ","t"
"Α-Pinene","924","932","930","937","27.1","26.2"
"Camphene","942","946","938","952","t","t"
"Sabinene","968","969","958","974","1.8","0.9"
"Β-Pinene","973","974","963","977","21.9","36.0"
"Dehydro-1,8-cineole"," "," ","973"," "," ","t"
"β-Myrcene","987","988","975","984","23.8","17.6"
"α-Phellandrene"," "," ","995","1010"," ","t"
"α-Terpinene"," "," ","1002","1015"," ","t"
"p-Cymene"," "," ","1003","1018"," ","t"
"β-Phellandrene","1029","1025","1005","1021","1.7","0.1"
"Limonene"," "," ","1009","1022"," ","4.3"
"cis-β-Ocimene","1035","1032","1017","1028","1.2","t"
"trans-β-Ocimene","1046","1044","1027","1036","t","0.4"
"γ-Terpinene"," "," ","1035","1047"," ","t"
"trans-Sabinene hydrate"," "," ","1037","1054"," ","t"
"Terpinolene"," "," ","1064","1077"," ","t"
"trans-Pinocarveol"," "," ","1106","1111"," ","t"
"cis-Verbenol"," "," ","1110","1124"," ","t"
"Pinocarvone"," "," ","1121","1139"," ","t"
"Terpinen-4-ol","1181","1174","1148","1160","t","0.1"
"α-Terpineol"," "," ","1159","1168"," ","t"
"Myrtenol"," "," ","1168","1178"," ","t"
"δ-Elemene"," "," ","1332","1344"," ","0.1"
"α-Cubebene"," "," ","1345","1347"," ","t"
"α-Copaene","1357","1374","1375","1374","t","t"
"β-Cubebene"," "," ","1385","1384"," ","t"
"β-Elemene","1389","1389","1388","1386","0.4","0.1"
"β-Caryophyllene","1419","1417","1414","1412","8.5","6.1"
"α-Guaiene","1434","1437"," "," ","t"," "
"α-Humulene","1455","1452","1447","1449","0.9","0.4"
"allo-Aromadendrene"," "," ","1456","1461"," ","0.1"
"trans-Cadina-1(6),4-diene"," "," ","1469"," "," ","t"
"Germacrene-D","1483","1484","1474","1481","1.0","0.9"
"Bicyclogermacrene","1496","1500","1487","1500","8.4","4.1"
"Germacrene A","1506","1508"," "," ","0.5"," "
"γ-Cadinene","1514","1513","1500","1511","0.3","0.4"
"δ-Cadinene","1517","1522","1505","1519","0.7","0.2"
"Elemol"," "," ","1530","1541"," ","0.1"
"Spathulenol"," "," ","1551","1552"," ","0.3"
"β-Caryophyllene oxide","1582","1582","1561","1578","0.5","0.1"
"Viridiflorol"," "," ","1569","1582"," ","t"
"Guaiol"," "," ","1575","1588"," ","t"
"Ledol"," "," ","1580","1600"," ","t"
"α-Muurolol"," "," ","1618","1622"," ","t"
"β-Eudesmol"," "," ","1620","1639"," ","t"
,,,,,," "
"% Identification"," "," "," "," ","98.7","98.5"
"Grouped components"," "," "," "," "," "," "
" Monoterpene hydrocarbons"," "," "," "," ","77.5","85.5"
" Oxygen-containing monoterpenes"," "," "," "," ","t","0.1"
" Sesquiterpene hydrocarbons"," "," "," "," ","20.7","12.4"
" Oxygen-containing sesquiterpenes"," "," "," "," ","0.5","0.5"
,,,,,,"Notes: RIa, calculated retention index relative to C9–C26 n-alkanes on the DB-5 column; RI11, literature retention indices on DB-5 (5% diphenyl, 95% dimethylsiloxane); RIb, calculated retention index relative to C9–C17 n-alkanes on the DB-1 column; RI13, literature retention indices on DB-1 column (100% dimethylpolysiloxane); t, trace (<0.05%)."
