" "," ",,,"Content (%)"," "," ",,,"Content (%)"
"Compound","RI","I","II","III","Compound","RI","I","II","III"
"α-Thujene","928","–","0.6","0.1","α-Ylangene","1369","t","–","t"
"α-Pinene","932","0.1","22.0","40.7","Geranyl acetate","1378","0.2","t","–"
"Camphene","946","–","–","t","Isobutyl phenylacetate","1384","–","–","t"
"β-Pinene","972","0.4","4.6","2.0","β-Elemene","1394","0.1","–","–"
"Myrcene","992","0.1","t","–","(Z)-Jasmone","1396","0.1","0.1","0.1"
"α-Phellandrene","1002","0.1","0.1","0.1","(E)-Caryophyllene","1420","0.6","1.9","0.8"
"α-Terpinene","1018","–","0.1","0.3","trans-α-Bergamotene","1429","–","t","t"
"p-Cymene","1021","t","0.6","6.5","Aromadendrene","1435","–","t","0.2"
"Limonene","1024","0.2","1.7","2.4","cis-Muurola-3,5-diene","1449","–","–","0.5"
"1,8-Cineole","1026","–","1.4","0.5","α-Humulene","1454","0.1","t","0.1"
"(Z)-β-Ocimene","1030","–","–","0.1","Allo-aromadendrene","1460","–","t","0.1"
"(E)-β-Ocimene","1046","t","t","–","Viridiflorene","1497","1.2","0.4","0.6"
"Bergamal","1051","0.2","t","t","α-Muurolene","1500","–","0.1","0.4"
"γ-Terpinene","1054","t","2.7","11.8","cis-Calamenene","1531","0.1","0.1","1.1"
"Acetophenone","1063","–","–","t","trans-Cadina-1,4-diene","1535","0.1","–","t"
"m-Cymenene","1085","–","1.5","1.4","α-Calacorene","1548","–","–","0.2"
"Linalool","1096","0.3","0.1","0.6","Spathulenol","1578","0.1","0.1","0.5"
"Isopentyl 2-methyl butanoate","1099","–","–","t","Caryophyllene oxide","1584","0.1","0.4","1.4"
"p-1,3,8-Menthatriene","1104","–","–","t","β-Atlantol","1610","t","t","0.2"
"endo-Fenchol","1111","–","–","0.1","10-epi-γ-eudesmold","1624","–","t","0.2"
"α-Campholenal","1123","0.1","0.1","t","γ-Eudesmol","1630","0.1","1.0","3.1"
"trans-Pinocarveol","1136","–","–","t","epi-α-Cadinol","1642","–","–","t"
"Isopulegol","1146","t","t","1.4","α-Muurolol","1645","–","–","t"
"Citronellal","1151","86.0","34.9","7.1","β-Eudesmol","1653","0.1","1.1","0.8"
"iso-Isopulegol","1154","t","1.0","0.6","α-Eudesmol","1655","t","0.9","0.9"
"Borneol","1168","t","t","0.1","cis-Calamenen-10-ol","1663","–","–","t"
"neoiso-Isopulegol","1169","0.3","0.2","0.1","trans-Calamenen-10-ol","1671","0.5","–","t"
"Terpinen-4-ol","1176","0.3","0.4","1.4","(2E,6Z)-Farnesol","1712","–","t","t"
"p-Cymen-8-ol","1184","–","–","t","Unidentifieda","2036","–","0.5","0.3"
"α-Terpineol","1190","t","t","2.4","Unidentifiedb","2173","–","0.4","0.1"
"Myrtenal","1198","–","0.8","t","Unidentifiedc","2206","–","0.2","0.2"
"Verbenone","1207","–","t","t","Grouped components"," "," "," "," "
"Citronellol","1224","4.5","11.9","1.5","Monoterpene hydrocarbons"," ","0.9","31.8","57.5"
"Geraniol","1255","0.2","0.1","t","Oxygenated monoterpenes"," ","93.1","53.9","16.3"
"cis-Myrtanol","1258","0.1","–","t","Sesquiterpene hydrocarbons"," ","2.2","2.5","4.0"
"Geranial","1265","t","–","–","Oxygenated sesquiterpenes"," ","0.4","3.5","7.1"
"Citronellyl formate","1271","t","–","t","Benzenoid compounds"," ","0.6","2.1","7.9"
"trans-Verbenyl acetate","1290","t","–","t","Others"," ","0.3","0.1","0.1"
"Citronellic acid","1316","0.3","–","0.3","Total identified (%)"," ","97.5","93.9","92.9"
"Citronellyl acetate","1350","0.8","3.0","0.2","Essential oil yield (%)e"," ","2.2","0.35","0.53"
"Eugenol","1353","0.1","t","–"," "," "," "," "," "
