"Compound name",,"Retention index (RI)",,"Compositionc (%)","Methods of identification"
"Reported","Calculated","Leaves","Fruits"
"α-Pinenea,b","929","929","0.3","0.4","MS, RI, AT"
"β -Pinenea","979","978","0.2","0.2","MS, RI, AT"
"δ-2-Carene","998","992","0.1","0.3","MS, RI"
"α-Phellandrene","1007","1011","0.1","0.1","MS, RI, AT"
"α-Terpinenea","1017","1022","0.1","0.2","MS, RI, AT"
"p-Cymenea,b","1033","1032","0.1","0.5","MS, RI, AT"
"Limonenea,b","1032","1033","0.2","11.0","MS, RI, AT"
"1,8-Cineolea,b","1037","1040","5.4","0.8","MS, RI, AT"
"cis-β-Ocimenea,b","1037","1041","0.7","0.2","MS, RI"
"trans-β-Ocimenea,b","1050","1052","0.2","0.2","MS, RI, AT"
"γ-Terpinenea","1060","1065","0.1","0.1","MS, RI"
"Terpinolenea","1089","1092","0.2","0.3","MS, RI"
"allo-Ocimenea","1132","1135","0.1","–","MS, RI"
"α-Terpineola,b","1207","1208","0.1","0.1","MS, RI, AT"
"Carvacrola","1313","1316","0.2","0.5","MS, RI, AT"
"α-Copaenea,b","1377","1380","1.0","2.1","MS, RI"
"α-Gurjunene","1410","1412","0.4","0.1","MS, RI"
"β-Caryophyllenea,b","1428","1428","16.9","17.6","MS, RI, AT"
"β-Copaene","1432","1435","1.7","2.1","MS, RI"
"β-Gurjunene","1434","1438","–","0.2","MS, RI"
"Aromadendrenea,b","1445","1447","2.8","2.5","MS, RI"
"allo-Aromadendrene","1460","1456","–","0.8","MS, RI"
"α-Humulenea,b","1466","1466","1.0","1.0","MS, RI"
"γ-Gurjunene","1460","1470","0.5","0.8","MS, RI"
"Chamigrenea","1478","1482","0.5","–","MS, RI"
"Muuroladienea","1481","1484","0.5","0.3","MS, RI"
"Germacrene Da","1485","1492","0.3","0.7","MS, RI"
"β-Selinenea,b","1495","1501","6.3","6.4","MS, RI"
"α-Selinenea,b","1505","1508","6.5","6.6","MS, RI"
"Valencene","1513","1516","0.6","0.8","MS, RI"
"δ-Cadinenea,b","1528","1528","5.3","4.9","MS, RI"
"α-Calamenene","1540","1535","2.4","1.0","MS, RI"
"α-Calacorenea","1546","1544","1.6","0.9","MS, RI"
"Germacrene Ba","1560","1569","0.4","0.4","MS, RI"
"Viridiflorola","1580","1576","1.7","2.2","MS, RI"
"Spathulenola","1591","1591","2.3","2.1","MS, RI"
"β-Caryophyllene-oxidea,b","1606","1596","6.5","6.7","MS, RI"
"cis-Isolongifolanone","1613","1619","–","1.5","MS, RI"
"β-Eudesmolb","1624","1622","–","3.7","MS, RI"
"Daucol","1640","1642","4.8","4.6","MS, RI"
"Cedr-8(15)-en-9-ol"," ","1651","2.0","1.9","MS"
"Cubenola","1646","1655","4.4","1.8","MS, RI"
"τ-Cadinola,b","1652","1658","–","2.5","MS, RI"
"δ-Cadinola,b","1658","1663","1.8","0.8","MS, RI"
"Cadalene","1671","1673","0.2","1.2","MS, RI"
"Selin-7(11)-en-4-α-ola","1675","1678","8.3","0.5","MS, RI"
"α-Santalol","1683","1689","0.9","0.1","MS, RI"
"Total"," "," ","89.7","93.7"," "
