"Peak no.","Composition","RI database","RI","% in oil","Matching similarity (%)"
"1","β-Patchoulene","1378","1374","7.0","96"
"2","β-Elemene","1389","1388","1.0","94"
"3","cis-Thujopsene","1428","1400","0.9","77"
"4","Isocaryophyllene","1413","1412","6.3","94"
"5","β-Gurjunene","1432","1433","3.3","74"
"6","α-Patchoulene","1456","1447","8.6","88"
"7","Δ-Patchoulene","1452","1450","0.7","96"
"8","β-Caryophyllene","1467","1471","1.0","92"
"9","cis-β-Guaiene","1489","1482","0.7","72"
"10","γ-Gurjunene","1473","1493","3.2","43"
"11","β-Selinene","1485","1501","0.4","79"
"12","β-guaiene","1500","1510","14.2","85"
"13","Elemol","1547","1546","3.0","88"
"14","Globulol","1576","1568","0.8","85"
"15","trans-Longipinocarveol","1639","1574","0.6","35"
"16","Caryophyllene oxide","1606","1619","0.8","92"
"17","Patchouli alcohol","1659","1647","26.5","98"
"18","Bulnesol","1666","1656","0.7","86"
"19","Aristolone","1756","1752","0.6","90"
