"Noa","RTb","Componentc","RId","FID (%)"
"1","5.38","α-pinene","940","0.8"
"2","5.65","Camphene","956","3.3"
"3","6.05","Sabinene","979","0.2"
"4","6.12","β-pinene","982","1.2"
"5","6.25","Dimethyl octanol","999","0.2"
"6","6.48","α-phellandrene","1008","0.1"
"7","6.78","4-carene","1021","0.3"
"8","6.89","m-cymene","1029","1.4"
"9","7.05","1,8-cineole","1038","17.3"
"10","7.46","γ-terpinene","1064","0.6"
"11","7.95","Linalool","1100","0.7"
"12","8.86","3-thujone","1110","2.0"
"13","8.88","Pinocarveol","1147","1.2"
"14","8.95","Camphor","1153","18.3"
"15","9.15","Isoborneol","1165","0.8"
"16","9.20","Verbanol","1168","2.4"
"17","9.32","Borneol","1174","9.5"
"18","9.44","p-menth-1-en-4-ol","1184","2.0"
"19","9.62","α-terpineol","1195","0.7"
"20","10.65","Thujenal","1202","1.3"
"21","10.90","Verbanyl acetate","1267","0.4"
"22","11.04","Bornyl acetate","1292","2.5"
"23","12.38","α-copaene","1388","0.4"
"24","12.55","2,3-bornediol","1413","0.8"
"25","13.00","γ-caryophyllene","1436","3.8"
"26","13.48","β-farnesene","1461","0.5"
"27","13.55","β-caryophyllene","1470","0.3"
"28","13.79","α-humulene","1477","1.0"
"29","14.28","2-methyl-6-tolyl-2-heptene","1490","1.1"
"30","14.72","Germacrene D","1496","1.1"
"31","14.90","Longifolene","1511","0.6"
"32","15.05","Cadina-1,4-diene","1536","1.1"
"33","15.15","β-caryophyllene oxide","1571","12.7"
"34","15.26","Spathulenol","1595","0.8"
"35","15.41","Ledol","1611","3.8"
"36","15.76","Cadinol","1658","0.6"
"37","15.96","Globulol","1674","1.5"
"38","16.68","Aromadendrene oxide","1687","0.9"
"39","17.24","Bisabolol","1694","0.3"
,,,," "
,"Identified compounds"," "," ","98.1"
,"Monoterpene hydrocarbons"," ","8","7.8"
,"Oxygenated monoterpenes"," ","14","59.7"
,"Sesquiterpene hydrocarbons"," ","8","8.7"
,"Oxygenated sesquiterpenes"," ","7","20.6"
,"Others"," ","2","1.3"
