"No.","Peak name","tR (min)","RI exp.","RI lit.a","Identification","Area (%)"
"1","3-Octanone","8.12","969","969","MS, RI","0.1"
"2","p-Cymene","9.79","1011","1015","MS, RI, S","tr"
"3","Eucalyptol","10.06","1019","1024","MS, RI, S","3.1"
"4","Limonene","10.15","1021","1025","MS, RI, S","3.1"
"5","trans-Linalool oxide","11.64","1059","1058","MS, RI","0.8"
"6","cis-Linalool oxide","12.26","1073","1071","MS, RI","0.2"
"7","Linalool","12.87","1086","1086","MS, RI","33.3"
"8","Camphor","14.13","1114","1123","MS, RI, S","9.8"
"9","Isobutyric acid, hexyl ester","15.04","1136","1136b","MS, RI","0.5"
"10","cis-Thujol","15.13","1139","1145","MS, RI","0.8"
"11","Borneol","15.43","1145","1150","MS, RI, S","2.9"
"12","Terpinen-4-ol","16.01","1159","1164","MS, RI, S","0.1"
"13","Myrtenal","16.28","1164","1172","MS, RI, S","0.1"
"14","α-Terpineol","16.51","1169","1176","MS, RI, S","3.5"
"15","n-Hexyl butanoate","16.89","1177","1176b","MS, RI","3.9"
"16","γ-Terpineol","17.28","1185","1188","MS, RI, S","0.6"
"17","trans-Carveol","17.74","1195","1200","MS, RI","tr"
"18","Nerol","18.16","1204","1210","MS, RI, S","0.2"
"19","n-Hexyl iso-valerate","18.34","1208","1204b","MS, RI","0.2"
"20","n-Hexyl n-valerate","19.14","1228","1226b","MS, RI","0.3"
"21","Geraniol","19.46","1236","1235","MS, RI, S","1.4"
"22","Linalyl acetate","19.75","1243","1239","MS, RI, S","19.7"
"23","trans-Anethole","20.39","1257","1262","MS, RI, S","0.7"
"24","Isobornyl acetate","20.78","1266","1270","MS, RI","0.2"
"25","Thymol","20.97","1270","1272","MS, RI, S","0.1"
"26","Lavandulyl acetate","21.14","1274","1275","MS, RI","0.9"
"27","Hexyl tiglate","22.78","1314","1321b","MS, RI","1.3"
"28","Neryl acetate","23.92","1354","1342","MS, RI","1.4"
"29","Geranyl acetate","24.4","1370","1362","MS, RI","2.6"
"30","n-Hexyl hexanoate","24.61","1377","1378b","MS, RI","0.1"
"31","Caryophyllene","25.42","1408","1409","MS, RI, S","0.3"
"32","(E)-β-Farnesene","26.06","1451","1446","MS, RI","0.2"
"33","α-Amorphene","26.42","1475","1477","MS, RI","0.1"
"34","Valencene","26.74","1496","1494","MS, RI","0.3"
"35","Caryophyllene oxide","27.62","1575","1578","MS, RI","6.2"
"36","τ-Cadinol","28.22","1632","1633","MS, RI","0.6"
"37","Bisabolol oxide B","28.37","1647","1653","MS, RI","0.4"
"38","α-Bisabolole","28.63","1673","1673","MS, RI, S","2.9"
