"No.","Peak name","tR (min)","RI exp","RI lit.a","Identification","Area (%)"
"1","α-Pinene","6.85","932","940","MS, RI, S","1.6"
"2","β-Pinene","8.05","967","981","MS, RI, S","2.0"
"3","β-Myrcene","8.17","970","987","MS, RI, S","1.8"
"4","2,3-Dehydro-1,8-cineole","8.51","979","991","MS, RI","0.3"
"5","p-Cymene","9.75","1010","1015","MS, RI, S","2.2"
"6","Eucalyptol","10.08","1019","1024","MS, RI, S","61.6"
"7","γ-Terpinene","11.27","1050","1051","MS, RI, S","0.3"
"8","trans-Sabinene hydrate","11.39","1053","1053","MS, RI","0.2"
"9","cis-Sabinene hydrate","12.61","1080","1082","MS, RI","0.1"
"10","Linalool","12.81","1084","1086","MS, RI, S","0.1"
"11","Campholenal","13.51","1098","1105","MS, RI","0.2"
"12","cis-p-Menth-2-en-1-ol","13.62","1101","1108","MS, RI","0.1"
"13","trans-Pinocarveol","14.25","1117","1123","MS, RI, S","1.5"
"14","Sabina ketone","14.41","1121","1132","MS, RI, S","0.4"
"15","trans-β-Terpineol","14.9","1133","1137","MS, RI","1.2"
"16","cis-β-Terpineol","15.36","1144","1141","MS, RI","0.9"
"17","Terpinen-4-ol","15.98","1158","1164","MS, RI, S","3.1"
"18","Myrtenal","16.25","1164","1172","MS, RI, S","1.0"
"19","Dihydrocarveol","16.34","1166","1175","MS, RI","0.8"
"20","α-Terpineol","16.47","1169","1176","MS, RI, S","1.5"
"21","Myrtenol","16.74","1174","1178","MS, RI, S","1.1"
"22","trans-Carveol","17.62","1192","1200","MS, RI","0.1"
"23","Carvone","18.18","1207","1214","MS, RI, S","0.2"
"24","trans-Anethol","20.35","1256","1262","MS, RI, S","0.1"
"25","Cuminic alcohol","20.49","1259","1260b","MS, RI","0.2"
"26","Bornyl acetate","20.74","1265","1270","MS, RI, S","0.2"
"27","Carvacrol","21.26","1276","1278","MS, RI, S","0.1"
"28","cis-Pinocarvyl acetate","22.07","1293","1300","MS, RI","1.3"
"29","Eugenol","23.27","1331","1331","MS, RI, S","0.1"
"30","Terpinyl acetate","23.46","1338","1335","MS, RI","13.8"
"31","Carvyl acetate","23.88","1350","1345","MS, RI","0.1"
"32","Methyleugenol","24.55","1375","1369","MS, RI","0.3"
"33","Isoeugenol methyl ether","26.22","1462","1468b","MS, RI","0.1"
"34","γ-Muurolene","26.46","1478","1475","MS, RI","0.1"
"35","γ-Cadinene","26.83","1503","1502","MS, RI","0.3"
"36","Caryophyllene oxide","27.59","1572","1578","MS, RI, S","0.9"
"37","β-Eudesmol","28.28","1638","1641","MS, RI","0.3"
