" ",,,," ",,,,"Relative amount (%)"
"No","Compound","RIa","RIb","B04","A04","A05∗","A06∗","A07∗"
"1","α-pinene","939","932","0.1","0.1","–c","–","–"
"2","Camphene","954","946","0.2","0.1","–","–","–"
"3","1-octen-3-ol","979","974","0.1","0.2","–","–","–"
"4","6-methyl-5-hepten-2-one","986","986","–","4.3","–","–","–"
"5","β-myrcene","991","988","0.7","0.1","–","–","–"
"6","Isopentyl isobutanoate","1015","1013","0.1","0.1","–","0.05","0.05"
"7","Limonene","1037","1024","23.1","3.7","2.0","2.2","1.9"
"8","trans-β-ocimene","1048","1044","0.7","0.4","0.3","0.4","0.2"
"9","Linalool","1100","1095","0.5","1.9","1.5","1.4","1.4"
"10","Citronellal","1154","1148","–","0.8","0.9","0.7","0.9"
"11","cis-crisantenol","1162","1159","–","0.5","–","–","–"
"12","Rose furan epoxide","1171","1173","–","0.4","–","–","–"
"13","Borneol","1180","1165","0.9","0.9","–","–","–"
"14","cis-dihydrocarvone","1203","1191","0.3","–","–","–","–"
"15","trans-dihydrocarvone","1212","1200","0.3","–","–","–","–"
"16","trans-carveol","1230","1215","0.6","–","–","–","–"
"17","Nerol","1231","1227","–","3.9","1.4","1.3","2.1"
"18","Neral","1236","1235","–","22.6","23.1","22.1","20.0"
"19","Geraniol","1248","1249","–","5.4","8.0","8.7","9.4"
"20","Geranial","1252","1264","–","28.8","29.3","27.3","24.5"
"21","Carvone","1245","1239","36.7","–","–","–","–"
"22","Piperitone","1255","1249","2.7","–","–","–","–"
"23","Piperitenone","1349","1356","5.0","–","–","–","–"
"24","Eugenol","1357","1340","–","0.4","–","–","–"
"25","Geranyl acetate","1379","1379","–","1.6","–","–","–"
"26","β-bourbonene","13","1419","2.7","–","–","–","–"
"27","β-ylangene","1432","1417","0.3","–","–","–","–"
"28","trans-β-caryophyllene","1420","1431","0.2","7.6","5.9","6.3","5.30"
"29","β-gurjunene","1435","1437","0.3","–","–","–","–"
"30","α-guaiene","1443","1387","–","1.8","1.2","1.3","1.3"
"31","trans-β-farnesene","1456","1454","1.2","0.1","–","–","–"
"32","α-humulene","1452","1452","–","2.4","1.6","1.8","1.6"
"33","γ-gurjunene","1475","1475","0.3","–","–","–","–"
"34","γ-muurolene","1479","1478","0.4","–","–","–","–"
"35","Bicyclosesquiphellandrene","1488","1487","11.1","3.1","1.8","2.2","1.2"
"36","Bicyclogermacrene","1509","1500","0.8","0.7","–","–","–"
"37","α-bulnesene","1515","1509","–","1.2","0.5","0.5","0.5"
"38","Cubebol","1518","1514","–","0.3","–","–","–"
"39","trans-γ-bisabolene","1528","1529","0.1","0.4","0.5","0.8","1.2"
"40","Germacrene-4-ol","1580","1574","0.3","0.1","–","–","–"
"41","Caryophyllene oxide","1584","1582","–","1.9","1.0","0.7","2.8"
