" "," ",,,"Composition (%)"," "," "
" ","Compoundsa","Leaves","Bark","Fruits","K.I.b","K.I.c"
"1","2-Hexenal","1.1","–","–","851","855"
"2","n-Hexanol","1.7","0.2","0.8","861","861"
"3","2,4-Heptadienal","–","0.2","–","1011","1007"
"4","M-Pyrol","–","0.1","0.8","1038","1034"
"5","1-Octanol","–","0.3","–","1070","1068"
"6","Phenylethyl Alcohol","–","–","2.2","1115","1119"
"7","1-Menthone","–","1.5","–","1157","1152"
"8","Menthol","–","3.0","0.6","1174","1171"
"9","Methyl salicylate","–","-","0.4","1196","1197"
"10","Menthyl acetate","–","0.4","–","1296","1295"
"11","Vinyl guajacol","–","0.3","–","1315","1320"
"12","1,5,5-Trimethyl-6-methylene-cyclohexene","0.8","–","–","1342","1338"
"13","Eugenol","–","0.3","3.4","1360","1359"
"14","β-Elemene","–","–","1.7","1395","1393"
"15","Caryophyllene","12.6","0.3","15.2","1423","1427"
"16","α-Bergamotene","9.0","–","5.0","1439","1435"
"17","3¸7-Guaiadiene","2.8","0.6","–","1447","1440"
"18","α-Humulene","–","0.2","–","1458","1454"
"19","(E)-β-Farnesene","–","–","3.5","1459","1461"
"20","Aromadendrene","26.3","–","–","1464","1462"
"21","Alloaromadendrene","–","0.4","–","1466","1467"
"22","α-Curcumene","4.2","1.1","5.0","1500","1484"
"23","β-Selinene","1.6","0.5","14.8","1504","1492"
"24","Zingiberene","6.6","1.0","1.7","1514","1498"
"25","β-Bisabolene","0.7","–","–","1520","1512"
"26","cis-γ-Bisabolene","0.5","–","–","1527","1519"
"27","β-Sesquiphellandrene","2.3","0.9","1.8","1527","1522"
"28","(E)-γ-Bisabolene","–","–","0.7","1531","1531"
"29","Caryophyllene oxide","–","–","10.7","1556","1547"
"30","Nerolidol","–","1.0","–","1569","1564"
"31","Palustrol","0.8","–","–","1578","1581"
"32","ar-Turmerol","–","–","1.5","1583","1583"
"33","Spathulenol","7.8","–","-","1601","1583"
"34","Viridiflorol","8.7","–","–","1608","1598"
"35","Ledol","3.6","–","1.9","1613","1605"
"36","Humulene epoxide II"," ","1.3","–","1616","1608"
"37","Biotol","–","37.8","–","1618","1613"
"38","Eremoligenol","–","–","1.0","1634","1624"
"39","Cubenol","–","1.1","–","1640","1628"
"40","Caryophylladienol II","–","–","1.0","1640","1640"
"41","α-Cadinol","0.8","–","0.6","1646","1645"
"42","β-Eudesmol","–","1.3","1.3","1654","1650"
"43","τ-Muurolol","0.2","–","2.1","1654","1650"
"44","epi- β-Bisabolol","1.1","–","–","1683","1671"
"45","Khusinol","–","–","2.3","1691","1674"
"46","Germacra-4(15),5,10,(14)-trien-1-α-ol","–","2.2","1.7","1698","1686"
"47","Heptadecane","–","0.2","–","1702","1700"
"48","Cedr-8-en-13-ol","–","–","1.4","1722","1720"
"49","8(15)-Cedren-9-α-yl-acetate","–","–","1.1","1738","1739"
"50","Tetradecanoic acid","–","0.8","–","1778","1763"
"51","Hexahydrofanesyl acetone","–","0.6","–","1848","–"
"52","Nonadecane","–","0.2","–","1901","1900"
"53","Palmitic acid","–","2.8","–","1932","1922"
"54","n-Hexadecanoic acid","–","11.1","3.3","1973","1973"
"55","Methyl linoleate","–","6.3","–","2103","2089"
"56","Linolenic acids","–","5.8","-","2111","2098"
"57","Phytol","–","1.2","–","2120","2110"
"58","Linolic acid","–","9.1","–","2171","2180"
"59","Tricosane","–","–","2.0","2297","2300"
"60","Tetracosane","0.3","–","1.4","2397","2400"
"61","Pentacosane","0.6","–","2.2","2498","2500"
" "," "," "," "," "," "," "
" ","Oxygenated monoterpens","0.0","4.9","0. 6"," "," "
" ","Hydrocarbon monoterpenes","0.8","0.0","0.0"," "," "
" ","Oxygenated sesquiterpenes","23.1","44.7","26.6"," "," "
" ","Hydrocarbon sesquiterpenes","66.6","5.1","49.3"," "," "
" ","Oxygenated non-terpenes","2.9","37.9","10.8"," "," "
" ","Hydrocarbon non-terpenes","0.9","0.5","5.6"," "," "
" ","Oxygenated diterpenes","–","1.2","–"," "," "
" ","Total identified","94.2","94.3","92.9"," "," "
