"Compound","RI","% of the oil"
"α-Thujene","926","0.4"
"α-Pinene","935","5.5"
"Sabinene","972","2.2"
"β-Pinene","976","11"
"Myrcene","982","0.5"
"ρ-Cymene","1015","0.1"
"Limonene","1023","4.2"
"Borneol","1155","0.1"
"Terpinene-4-ol","1172","Trace"
"Bornyl acetate","1280","0.3"
"α-Copaene","1375","0.4"
"β-Caryophyllene","1430","29"
"Farnesene","1445","13"
"α-Humulene","1460","2.9"
"Germacrene D","1485","6.5"
"Bicyclogermacrene","1499","5"
"β-Bisabolene","1504","3.7"
"γ-Cadinene","1520","1.1"
"Spathulenol","1573","1.5"
"Caryophyllene oxide","1580","0.7"
"Total"," ","93.6"
