"Compounds","RIa","RIb","Peak area (%)"
"α-Pinene","931","934","0.4"
"Camphene","952","949","0.5"
"Sabinene","979","975","2.2"
"β-Pinene","981","975","0.6"
"6-Methyl-5-hepten-2-one","986","985","2.6"
"β-Myrcene","991","990","0.9"
"β-Phellandrene","1026","1030","0."
"Limonene","1032","1035","1.8"
"γ-Terpinene","1057","1060","0.8"
"Acetophenone","1066","1065","1.4"
"cis-Linalool oxide","1076","1074","1.7"
"Linalool","1094","1098","19.4"
"Camphor","1143","1145","2.7"
"p-Mentha-1,5-dien-8-ol","1168","1170","1.3"
"Terpinen-4-ol","1175","1177","2.4"
"α-Terpineol","1189","1189","7.9"
"Verbenone","1205","1204","1.2"
"β-Cyclocitral","1215","1219","3.6"
"Neral","1235","1238","0.7"
"Geranial","1269","1270","5.8"
"Phellandral","1281","1278","0.3"
"Bornyl acetate","1285","1285","3.4"
"Piperitenone","1340","1343","0.8"
"α-Copaene","1374","1376","2.6"
"β-Geranyl acetate","1380","1381","2.7"
"β-Bourbonene","1385","1388","0.5"
"β-Elemene","1391","1390","2.9"
"trans-α-Ionene","1426","1430","11.4"
"β-Gurjunene","1432","1431","0.4"
"γ-Selinene","1470","1470","1.1"
"trans-β-Ionone","1482","1488","1.6"
"δ-Selinene","1491","1493","0.7"
"γ-Cadinene","1513","1514","0.7"
"δ-Cadinene","1523","1523","3.6"
"Dihydroactinolide","1531","1532","7.8"
"δ-Cadinol","1640","1640","0.5"
"Phytol","2119","1949","0.1"
"Total identified"," "," ","99.0"
"Monoterpenoids"," "," ","58.5"
"Sesquiterpenoids"," "," ","28.5"
"Other"," "," ","12.0"
,,,"Notes: aRI, retention index as determined on a HP-5MS column using the homologous series of n-hydrocarbons. bRI, relative retention index taken from Adams (2007) and/or NIST 08 (2008)."
